Date	Flow	Rainfall	Rainfall FA
18/11/2009 16:00	2.78	0.4	0.2
18/11/2009 16:15	2.8	0.2	0.1
18/11/2009 16:30	2.85	0.4	0.2
18/11/2009 16:45	2.94	0.2	0.1
18/11/2009 17:00	3.02	0.2	0.1
18/11/2009 17:15	3.15	0.2	0.1
18/11/2009 17:30	3.26	0	0
18/11/2009 17:45	3.31	0	0
18/11/2009 18:00	3.35	0	0
18/11/2009 18:15	3.37	0	0
18/11/2009 18:30	3.33	0	0
18/11/2009 18:45	3.29	0	0
18/11/2009 19:00	3.22	0	0
18/11/2009 19:15	3.15	0	0
18/11/2009 19:30	3.06	0	0
18/11/2009 19:45	2.99	0	0
18/11/2009 20:00	2.88	0	0
18/11/2009 20:15	2.8	0	0
18/11/2009 20:30	2.73	0	0
18/11/2009 20:45	2.65	0	0
18/11/2009 21:00	2.57	0	0
18/11/2009 21:15	2.51	0	0
18/11/2009 21:30	2.46	0.2	0.1
18/11/2009 21:45	2.45	1	0.5
18/11/2009 22:00	2.46	0.8	0.4
18/11/2009 22:15	2.57	0.2	0.1
18/11/2009 22:30	2.73	0.4	0.2
18/11/2009 22:45	3.06	1.2	0.6
18/11/2009 23:00	3.62	0.6	0.3
18/11/2009 23:15	4.52	1.2	0.6
18/11/2009 23:30	5.64	1.6	0.8
18/11/2009 23:45	6.97	1.8	0.9
19/11/2009 00:00	8.62	1.8	0.9
19/11/2009 00:15	10.6	1.6	0.8
19/11/2009 00:30	12.6	2.4	1.2
19/11/2009 00:45	14.6	2.2	1.1
19/11/2009 01:00	16.5	2	1
19/11/2009 01:15	18.2	1.8	0.9
19/11/2009 01:30	20	2.2	1.1
19/11/2009 01:45	22.9	1.8	0.9
19/11/2009 02:00	25.3	1.8	0.9
19/11/2009 02:15	27.8	1.8	0.9
19/11/2009 02:30	29.5	1.4	0.7
19/11/2009 02:45	30.6	1.6	0.8
19/11/2009 03:00	31	1.4	0.7
19/11/2009 03:15	31.6	2.2	1.1
19/11/2009 03:30	31.9	1.6	0.8
19/11/2009 03:45	32.3	1.4	0.7
19/11/2009 04:00	33.2	2.4	1.2
19/11/2009 04:15	34.4	1.8	0.9
19/11/2009 04:30	35.8	1.6	0.8
19/11/2009 04:45	37.4	2.8	1.4
19/11/2009 05:00	39.3	1.6	0.8
19/11/2009 05:15	41.1	1.8	0.9
19/11/2009 05:30	43.1	1.4	0.7
19/11/2009 05:45	44.7	1.8	0.9
19/11/2009 06:00	45.7	2.4	1.2
19/11/2009 06:15	45.9	2.2	1.1
19/11/2009 06:30	45.7	2	1
19/11/2009 06:45	45.6	2	1
19/11/2009 07:00	46.1	1.6	0.8
19/11/2009 07:15	47.1	1.2	0.6
19/11/2009 07:30	47.9	2	1
19/11/2009 07:45	48.2	2.2	1.1
