hru;band;precip;pet;z;is_channel;edges;area;geom;sf_type;sf_param;rz_type;rz_param;uz_type;uz_param;sz_type;sz_param;uid;name;s_sf;s_rz;s_uz;s_sz
0;1;precip;precip;462.950469970703;FALSE;{"hru":[152,48,100,212],"width":[0.061553955078125,0.00236939467084604,0.0273880004882813,0.0773068959329613],slope:[20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350534 513604, 350534 513644, 350574 513644, 350574 513604, 350534 513604));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
1;1;precip;precip;440.334197998047;FALSE;{"hru":[780,99,47,836,154,887,937,993],"width":[0.00212820841987018,0.00187606811523438,0.00047474210162671,0.0031097412109375,0.0529670715332031,0.0319781963818465,0.0588775634765625,0.0896787829972856],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350814 513564, 350814 513604, 350854 513604, 350854 513564, 350814 513564));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
2;1;precip;precip;470.533355712891;FALSE;{"hru":[49,1584,1515,1393,1454,1656],"width":[0.043109130859375,0.0797572125529483,0.0635894775390625,0.0280653504010527,0.0483474731445312,0.0927829489663311],slope:[20,14.1421356237309,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350294 513364, 350294 513404, 350334 513404, 350334 513364, 350294 513364));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
3;1;precip;precip;485.307373046875;FALSE;{"hru":[50,782,104,157],"width":[0.0190032958984375,0.0317052196734111,0.0256950378417969,0.0288438195517883],slope:[20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350014 513284, 350014 513324, 350054 513324, 350054 513284, 350014 513284));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
4;1;precip;precip;417.537139892578;FALSE;{"hru":[4184,4004,4065,4245,103,4377,51,158],"width":[0.0644079372398992,0.0610298156738281,0.0469870600288427,0.123853302001953,0.03984375,0.102823744415736,0.0298553466796875,0.0889736830804377],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350894 513284, 350894 513324, 350934 513324, 350934 513284, 350894 513284));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
5;1;precip;precip;499.811187744141;FALSE;{"hru":[332,105,52,215],"width":[0.0714891472693904,0.0376213073730469,0.0162727355957031,0.0525318319839783],slope:[14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((349774 513164, 349774 513204, 349814 513204, 349814 513164, 349774 513164));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
6;1;precip;precip;497.813232421875;FALSE;{"hru":[53,54,107,160,217],"width":[0.00561904907226562,0.0102020263671875,0.011777380477969,0.0306961059570313,0.0383321878283912],slope:[20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((349534 512884, 349534 512924, 349574 512924, 349574 512884, 349534 512884));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
7;1;precip;precip;264.279296875;FALSE;{"hru":9459,"width":40.000000,slope:0.025000};1520;POLYGON ((351134 512844, 351134 512884, 351174 512884, 351174 512844, 351134 512844));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
8;1;precip;precip;264.168151855469;FALSE;{"hru":[6683,55,9546,9571,9437,9547],"width":[0.000644678194822635,0.00095367431640625,0.00439568027733459,0.00811767578125,0.0014923095703125,0.00360210569609266],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((351174 512844, 351174 512884, 351214 512884, 351214 512844, 351174 512844));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
9;1;precip;precip;264.521545410156;FALSE;{"hru":9459,"width":40.000000,slope:0.025000};1520;POLYGON ((351094 512804, 351094 512844, 351134 512844, 351134 512804, 351094 512804));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
10;1;precip;precip;411.474273681641;FALSE;{"hru":[56,108,57,221,163,222],"width":[0.015296406306277,0.028924560546875,0.0505836486816406,0.0993743114636893,0.0838775634765625,0.0747233278367223],slope:[14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((352094 512684, 352094 512724, 352134 512724, 352134 512684, 352094 512684));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
11;1;precip;precip;501.792999267578;FALSE;{"hru":[58,109,997,940,1049],"width":[0.00221633911132812,0.00444315448749726,0.0219886779785156,0.00746307373046875,0.0234538782593423],slope:[20,14.1421356237309,20,20,14.1421356237309]};1600;POLYGON ((349494 512604, 349494 512644, 349534 512644, 349534 512604, 349494 512604));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
12;1;precip;precip;268.391052246094;FALSE;{"hru":9197,"width":40.000000,slope:0.025000};1504;POLYGON ((350694 512404, 350694 512444, 350734 512444, 350734 512404, 350694 512404));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
