Date	Flow	Rainfall
30/10/2009 00:00	0.464	0
30/10/2009 00:15	0.464	0
30/10/2009 00:30	0.464	0
30/10/2009 00:45	0.459	0
30/10/2009 01:00	0.459	0
30/10/2009 01:15	0.459	0
30/10/2009 01:30	0.459	0
30/10/2009 01:45	0.459	0
30/10/2009 02:00	0.454	0
30/10/2009 02:15	0.454	0
30/10/2009 02:30	0.454	0
30/10/2009 02:45	0.448	0
30/10/2009 03:00	0.448	0
30/10/2009 03:15	0.448	0
30/10/2009 03:30	0.448	0
30/10/2009 03:45	0.443	0
30/10/2009 04:00	0.443	0
30/10/2009 04:15	0.443	0
30/10/2009 04:30	0.443	0
30/10/2009 04:45	0.443	0
30/10/2009 05:00	0.438	0
30/10/2009 05:15	0.438	0
30/10/2009 05:30	0.438	0
30/10/2009 05:45	0.433	0
30/10/2009 06:00	0.433	0
30/10/2009 06:15	0.433	0
30/10/2009 06:30	0.433	0
30/10/2009 06:45	0.428	0
30/10/2009 07:00	0.428	0
30/10/2009 07:15	0.428	0
30/10/2009 07:30	0.423	0
30/10/2009 07:45	0.423	0
30/10/2009 08:00	0.423	0
30/10/2009 08:15	0.423	0
30/10/2009 08:30	0.418	0
30/10/2009 08:45	0.413	0
30/10/2009 09:00	0.413	0
30/10/2009 09:15	0.413	0
30/10/2009 09:30	0.413	0
30/10/2009 09:45	0.408	0
30/10/2009 10:00	0.408	0
30/10/2009 10:15	0.408	0
30/10/2009 10:30	0.403	0
30/10/2009 10:45	0.403	0
30/10/2009 11:00	0.403	0
30/10/2009 11:15	0.399	0
30/10/2009 11:30	0.399	0
30/10/2009 11:45	0.399	0
30/10/2009 12:00	0.399	0
30/10/2009 12:15	0.399	0
30/10/2009 12:30	0.394	0
30/10/2009 12:45	0.394	0
30/10/2009 13:00	0.394	0
30/10/2009 13:15	0.389	0
30/10/2009 13:30	0.389	0
30/10/2009 13:45	0.384	0
30/10/2009 14:00	0.384	0
30/10/2009 14:15	0.384	0
30/10/2009 14:30	0.38	0
30/10/2009 14:45	0.38	0
30/10/2009 15:00	0.38	0
30/10/2009 15:15	0.375	0
30/10/2009 15:30	0.375	0
30/10/2009 15:45	0.375	0
30/10/2009 16:00	0.375	0
30/10/2009 16:15	0.37	0
30/10/2009 16:30	0.37	0
30/10/2009 16:45	0.37	0
30/10/2009 17:00	0.366	0.2
